Orbit #,File Name,Frame,Start1,End1,Start2,End2,Start3,End3
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,519,529,,,,
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,909,991,922,952,898,935
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,,,967,992,950,972
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,1039,1060,1054,1059,,
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,1090,1176,1110,1123,1091,1124
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,1187,1206,1135,1201,1147,1147
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,,,1210,1221,1186,1204
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,694,812,676,813,676,812
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,835,954,842,925,826,941
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,997,997,975,986,972,996
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,1000,1010,,
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,1263,1305,1248,1276,1248,1256
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,679,698,645,686,638,667
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,,,,,715,715
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,750,760,759,760,,
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,791,824,773,860,791,862
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,844,850,,,,
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,922,1014,894,939,898,965
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,1039,1058,950,955,,
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,,,966,1051,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,221,298,217,295,191,193
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,,,,,240,289
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,645,652,645,652,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,665,670,679,695,676,681
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,707,710,705,762,691,778
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,757,779,,,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,799,803,808,808,809,810
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,816,871,819,862,837,849
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,705,705,710,730,733,772
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,720,724,751,838,791,800
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,740,809,,,814,817
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,821,857,,,,
