Orbit #,File Name,Final Frame,Start,End
2,awe_l1r_q20_2023326T0108_00002_v01.nc,1385,599,689
2,awe_l1r_q20_2023326T0108_00002_v01.nc,,934,1155
4,awe_l1r_q20_2023326T0108_00004_v01.nc,1406,326,514
4,awe_l1r_q20_2023326T0108_00004_v01.nc,,674,877
4,awe_l1r_q20_2023326T0108_00004_v01.nc,,904,1097
4,awe_l1r_q20_2023326T0108_00004_v01.nc,,1110,1253
6,awe_l1r_q20_2023326T0108_00006_v01.nc,1425,956,1120
8,awe_l1r_q20_2023326T0108_00008_v01.nc,1410,488,612
8,awe_l1r_q20_2023326T0108_00008_v01.nc,,951,1192
8,awe_l1r_q20_2023326T0108_00008_v01.nc,,1301,1372
8,awe_l1r_q20_2023326T0108_00008_v01.nc,,1379,1410
10,awe_l1r_q20_2023326T0108_00010_v01.nc,1409,759,930
10,awe_l1r_q20_2023326T0108_00010_v01.nc,,1081,1402
12,awe_l1r_q20_2023326T0108_00012_v01.nc,1404,989,1372
14,awe_l1r_q20_2023326T0108_00014_v01.nc,1406,1002,1180
14,awe_l1r_q20_2023326T0108_00014_v01.nc,,1253,1384
15,awe_l1r_q20_2023326T0108_00015_v01.nc,1405,1066,1240
15,awe_l1r_q20_2023326T0108_00015_v01.nc,,1337,1405
16,awe_l1r_q20_2023326T0108_00016_v01.nc,1406,982,1406
18,awe_l1r_q20_2023326T0108_00018_v01.nc,1414,1414,1122
20,awe_l1r_q20_2023326T0108_00020_v01.nc,1419,782,900
20,awe_l1r_q20_2023326T0108_00020_v01.nc,,979,1192
20,awe_l1r_q20_2023326T0108_00020_v01.nc,,1288,1419
22,awe_l1r_q20_2023326T0108_00022_v01.nc,1432,558,756
22,awe_l1r_q20_2023326T0108_00022_v01.nc,,992,1112
24,awe_l1r_q20_2023326T0108_00024_v01.nc,1424,948,1390
26,awe_l1r_q20_2023326T0108_00026_v01.nc,1444,809,1296
28,awe_l1r_q20_2023326T0108_00028_v01.nc,1442,862,1173
30,awe_l1r_q20_2023326T0108_00030_v01.nc,1461,170,236
30,awe_l1r_q20_2023326T0108_00030_v01.nc,,448,537
30,awe_l1r_q20_2023326T0108_00030_v01.nc,,1013,1300
32,awe_l1r_q20_2023326T0108_00032_v01.nc,1460,438,580
34,awe_l1r_q20_2023326T0108_00034_v01.nc,1483,188,270
34,awe_l1r_q20_2023326T0108_00034_v01.nc,,403,519
34,awe_l1r_q20_2023326T0108_00034_v01.nc,,999,1186
34,awe_l1r_q20_2023326T0108_00034_v01.nc,,1320,1483
36,awe_l1r_q20_2023326T0108_00036_v01.nc,1482,288,387
36,awe_l1r_q20_2023326T0108_00036_v01.nc,,872,984
38,awe_l1r_q20_2023326T0108_00038_v01.nc,1492,555,598
40,awe_l1r_q20_2023326T0108_00040_v01.nc,1479,977,1433
42,awe_l1r_q20_2023326T0108_00042_v01.nc,1492,906,1343
44,awe_l1r_q20_2023326T0108_00044_v01.nc,1481,285,380
44,awe_l1r_q20_2023326T0108_00044_v01.nc,,948,1230
45,awe_l1r_q20_2023326T0108_00045_v01.nc,1497,1068,1347
46,awe_l1r_q20_2023326T0108_00046_v01.nc,1496,927,1088
46,awe_l1r_q20_2023326T0108_00046_v01.nc,,1271,1446
48,awe_l1r_q20_2023326T0108_00048_v01.nc,1507,996,1034
50,awe_l1r_q20_2023326T0108_00050_v01.nc,1498,317,477
50,awe_l1r_q20_2023326T0108_00050_v01.nc,,807,1093
50,awe_l1r_q20_2023326T0108_00050_v01.nc,,1149,1353
52,awe_l1r_q20_2023326T0108_00052_v01.nc,1528,350,487
58,awe_l1r_q20_2023326T0108_00058_v01.nc,1497,506,649
58,awe_l1r_q20_2023326T0108_00058_v01.nc,,797,1364
60,awe_l1r_q20_2023326T0108_00060_v01.nc,1485,990,1391
75,awe_l1r_q20_2023326T0108_00075_v01.nc,1447,481,573
,,,867,1264
90,awe_l1r_q20_2023326T0108_00090_v01.nc,1421,646,996
,,,1208,1340
100,awe_l1r_q20_2023326T0108_00100_v01.nc,1405,733,1279
105,awe_l1r_q20_2023326T0108_00105_v01.nc,1399,605,1056
120,awe_l1r_q20_2023326T0108_00120_v01.nc,1382,180,327
,,,535,913
135,awe_l1r_q20_2023326T0108_00135_v01.nc,1886,664,887
