Orbit #,File Name,Frames,Start3,End3,Start2,End2,Start1,End1
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,516,530,928,992,897,972
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,910,993,1052,1061,1089,1125
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,1042,1061,1121,1125,1146,1149
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,1150,1204,1134,1143,1184,1206
75,awe_l1r_q20_2023330T1332_00075_v01.nc,1447,,,1150,1223,,
,,,,,,,,
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,0,30,0,8,4,9
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,695,813,16,49,36,44
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,837,954,71,145,681,720
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,995,998,686,723,740,747
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,1249,1307,730,735,757,813
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,743,798,825,900
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,834,922,930,934
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,975,981,971,997
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,995,1011,1225,1239
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,1190,1204,1244,1257
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,1210,1233,,
90,awe_l1r_q20_2023330T1332_00090_v01.nc,1421,,,1250,1272,,
,,,,,,,,
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,0,28,620,646,53,66
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,282,287,653,688,141,151
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,641,671,757,762,575,631
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,682,701,771,832,637,667
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,748,762,840,862,713,716
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,787,825,893,905,790,832
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,962,1015,935,941,846,862
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,1050,1058,949,957,926,966
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,,,964,1005,,
105,awe_l1r_q20_2023330T1332_00105_v01.nc,1399,,,1013,1052,,
,,,,,,,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,241,263,36,62,188,193
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,643,654,75,86,238,252
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,663,672,222,281,285,289
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,706,712,316,320,676,683
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,755,781,630,654,699,764
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,798,801,677,695,770,780
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,815,873,704,764,835,850
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,937,975,806,808,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,1031,1039,817,863,,
120,awe_l1r_q20_2023333T0630_00120_v01.nc,1382,,,950,971,,
,,,,,,,,
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,22,30,74,79,221,224
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,70,77,107,113,579,585
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,684,693,127,165,668,687
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,703,706,183,198,730,772
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,717,725,253,256,788,800
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,734,809,293,296,811,817
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,815,858,602,610,835,840
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,987,1089,668,685,925,933
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,1100,1118,708,731,955,963
135,awe_l1r_q20_2023333T0630_00135_v01.nc,1886,,,748,838,,
