Orbit #,File Name,Final Frame,Start,End
621,awe_l1r_2024001_00621_q20_v00.nc,1916,76,365
622,awe_l1r_2024001_00622_q20_v00.nc,1916,300,565
622,awe_l1r_2024001_00622_q20_v00.nc,,1615,1745
623,awe_l1r_2024001_00623_q20_v00.nc,1916,870,965
624,awe_l1r_2024001_00624_q20_v00.nc,1918,0,25
624,awe_l1r_2024001_00624_q20_v00.nc,,48,135
624,awe_l1r_2024001_00624_q20_v00.nc,,440,683
624,awe_l1r_2024001_00624_q20_v00.nc,,940,1085
625,awe_l1r_2024001_00625_q20_v00.nc,1916,75,350
625,awe_l1r_2024001_00625_q20_v00.nc,,436,620
626,awe_l1r_2024001_00626_q20_v00.nc,1915,40,552
627,awe_l1r_2024001_00627_q20_v00.nc,-1,0,65
627,awe_l1r_2024001_00627_q20_v00.nc,,132,442
627,awe_l1r_2024001_00627_q20_v00.nc,,472,555
627,awe_l1r_2024001_00627_q20_v00.nc,,1162,1280
627,awe_l1r_2024001_00627_q20_v00.nc,,1640,1742
628,awe_l1r_2024001_00628_q20_v00.nc,1915,0,36
628,awe_l1r_2024001_00628_q20_v00.nc,,77,469
628,awe_l1r_2024001_00628_q20_v00.nc,,500,598
628,awe_l1r_2024001_00628_q20_v00.nc,,664,852
628,awe_l1r_2024001_00628_q20_v00.nc,,950,1030
628,awe_l1r_2024001_00628_q20_v00.nc,,1865,1915
629,awe_l1r_2024001_00629_q20_v00.nc,1913,148,482
630,awe_l1r_2024001_00630_q20_v00.nc,1913,0,35
630,awe_l1r_2024001_00630_q20_v00.nc,,160,520
630,awe_l1r_2024001_00630_q20_v00.nc,,1096,1188
631,awe_l1r_2024001_00631_q20_v00.nc,1913,0,108
631,awe_l1r_2024001_00631_q20_v00.nc,,165,654
631,awe_l1r_2024001_00631_q20_v00.nc,,890,1000
631,awe_l1r_2024001_00631_q20_v00.nc,,1110,1256
632,awe_l1r_2024001_00632_q20_v00.nc,1915,16,318
632,awe_l1r_2024001_00632_q20_v00.nc,,375,572
632,awe_l1r_2024001_00632_q20_v00.nc,,1260,1342
632,awe_l1r_2024001_00632_q20_v00.nc,,1346,1448
632,awe_l1r_2024001_00632_q20_v00.nc,,1478,1566
633,awe_l1r_2024001_00633_q20_v00.nc,1912,134,444
633,awe_l1r_2024001_00633_q20_v00.nc,,444,566
633,awe_l1r_2024001_00633_q20_v00.nc,,906,1085
633,awe_l1r_2024001_00633_q20_v00.nc,,1236,1556
633,awe_l1r_2024001_00633_q20_v00.nc,,1612,1718
634,awe_l1r_2024001_00634_q20_v00.nc,1912,,
635,awe_l1r_2024001_00635_q20_v00.nc,1911,0,95
