Model,Epoch,Accuracy,Val_Accuracy
ResNet50,1,0.6308302283287048,0.7236841917037964
ResNet50,2,0.7180503606796265,0.7664473652839661
ResNet50,3,0.7684234976768494,0.8108552694320679
ResNet50,4,0.76072758436203,0.7837170958518982
ResNet50,5,0.7609608173370361,0.8050987124443054
ResNet50,6,0.7842817306518555,0.7976973652839661
ResNet50,7,0.7768190503120422,0.7837170958518982
ResNet50,8,0.7672574520111084,0.8338815569877625
ResNet50,9,0.7796175479888916,0.8248355388641357
ResNet50,10,0.7493003606796265,0.8223684430122375
ResNet50,11,0.7735540866851807,0.8462170958518982
ResNet50,12,0.7623600959777832,0.8445723652839661
ResNet50,13,0.7761194109916687,0.8462170958518982
ResNet50,14,0.784981369972229,0.8453947305679321
ResNet50,15,0.7975746393203735,0.859375
ResNet50,16,0.8183302283287048,0.8199012875556946
ResNet50,17,0.7707555890083313,0.8388158082962036
ResNet50,18,0.8131996393203735,0.8421052694320679
ResNet50,19,0.8199626803398132,0.8322368264198303
ResNet50,20,0.8024719953536987,0.8618420958518982
ResNet50,21,0.7978078126907349,0.8511512875556946
ResNet50,22,0.7985074520111084,0.8610197305679321
ResNet50,23,0.8355876803398132,0.8700658082962036
ResNet50,24,0.840018630027771,0.8634868264198303
ResNet50,25,0.8351212739944458,0.8552631735801697
ResNet50,26,0.8453824520111084,0.8675987124443054
ResNet50,27,0.8409515023231506,0.8396381735801697
ResNet50,28,0.8348880410194397,0.8856908082962036
ResNet50,29,0.8262593150138855,0.8544408082962036
ResNet50,30,0.846315324306488,0.8626644611358643
ResNet50,31,0.8456156849861145,0.875
ResNet50,32,0.8481809496879578,0.8511512875556946
ResNet50,33,0.8547108173370361,0.859375
ResNet50,34,0.8414179086685181,0.84375
ResNet50,35,0.8311567306518555,0.8725329041481018
ResNet50,36,0.8423507213592529,0.8856908082962036
ResNet50,37,0.8680037260055542,0.8898026347160339
ResNet50,38,0.8526119589805603,0.8733552694320679
ResNet50,39,0.8696361780166626,0.8725329041481018
ResNet50,40,0.8465484976768494,0.875
